,name_number,name,structure,structure_type,space_group,exp_gap,reference,group_number,material_id,composition,electron density,cell density,cell volume,com_0,com_1,lattice constants a_0,lattice constants a_1,lattice constants b_0,lattice constants b_1,lattice constants c_0,lattice constants c_1,atomic radii(empirical)_0,atomic radii(empirical)_1,atomic radii(clementi)_0,atomic radii(clementi)_1,ionic radii(pauling)_0,ionic radii(pauling)_1,ionic radii(shannon)_0,ionic radii(shannon)_1,covalent radii_0,covalent radii_1,metal radii(waber)_0,metal radii(waber)_1,valence electron distance(schubert)_0,valence electron distance(schubert)_1,core electron distance(schubert)_0,core electron distance(schubert)_1,pseudo-potential radii(zunger)_0,pseudo-potential radii(zunger)_1,first ionization energy_0,first ionization energy_1,second ionization energy _0,second ionization energy _1,third ionization energy _0,third ionization energy _1,atomization enthalpy_0,atomization enthalpy_1,vaporization enthalpy_0,vaporization enthalpy_1,fusion enthalpy_0,fusion enthalpy_1,cohesive energy(Brewer)_0,cohesive energy(Brewer)_1,total energy_0,total energy_1,electron number_0,electron number_1,valence electron number_0,valence electron number_1,effective nuclear charge(slater)_0,effective nuclear charge(slater)_1,effective nuclear charge(clementi)_0,effective nuclear charge(clementi)_1,electronegativity(martynov&batsanov)_0,electronegativity(martynov&batsanov)_1,electronegativity(pauling)_0,electronegativity(pauling)_1,electronegativity(alfred-rochow)_0,electronegativity(alfred-rochow)_1,"atomic volume(villars,daams)_0","atomic volume(villars,daams)_1"
29,KI225,KI,Cubic,NaCl,Fm3(-)m,6.25,555,225,mp-22898,"{'K': 1.0, 'I': 1.0}",1.5526728516618409,2.972226437,46.371648685,1.0,1.0,5.328,7.1802,5.328,4.7102,5.328,9.8103,2.2,1.4,2.43,1.15,1.33,0.46,1.38,0.95,2.03,1.39,2.376,1.39,4.6,1.69,1.32,1.17,3.69,1.585,4.356,10.487,31.73,19.198,45.874,33.114,0.928,1.111,0.823,0.433,0.024,0.081,0.93,1.11,1.106,1.519,19,53,1,7,2.2,7.6,3.5,11.61,0.8,2.76,0.82,2.66,0.91,2.21,7.572,4.263
30,LaSb225,LaSb,Cubic,NaCl,Fm3(-)m,0.8,555,225,mp-1065,"{'La': 1.0, 'Sb': 1.0}",3.061857914255551,6.135696614,35.27270142,1.0,1.0,3.772,4.307,3.772,4.307,12.144,11.273,1.95,1.45,2.47,1.33,1.06,0.57,1.032,0.76,2.07,1.39,1.877,1.59,2.42,2.15,1.34,1.32,3.08,1.765,5.596,8.67,11.097,16.588,19.25,25.386,4.482,2.728,4.182,1.724,0.066,0.205,4.47,2.75,4.927,4.128,57,51,3,5,2.85,6.3,9.31,9.99,1.35,2.14,1.1,2.05,1.08,1.82,3.741,2.997
31,LiBr225,LiBr,Cubic,NaCl,Fm3(-)m,7.9,555,225,mp-23259,"{'Li': 1.0, 'Br': 1.0}",1.8138805406906575,3.441826701,20.94956043,1.0,1.0,3.51,6.7265,3.51,4.6451,3.51,8.7023,1.45,1.1,1.67,0.94,0.6,0.37,0.76,0.39,1.28,1.2,1.562,1.17,3.06,1.6,1.75,1.01,1.61,1.2,5.41,11.855,75.899,21.871,122.876,36.119,1.658,1.164,1.536,0.317,0.031,0.06,1.63,1.22,1.908,1.629,3,35,1,7,1.3,7.6,1.28,9.03,0.9,2.83,0.98,2.96,0.97,2.74,2.162,3.277
32,LiCl225,LiCl,Cubic,NaCl,Fm3(-)m,9.33,555,225,mp-22905,"{'Li': 1.0, 'Cl': 1.0}",1.1695086843114344,2.058244416,17.101198365,1.0,1.0,3.51,6.2235,3.51,4.4561,3.51,8.1785,1.45,1.0,1.67,0.79,0.6,0.28,0.76,0.27,1.28,1.02,1.562,0.91,3.06,1.41,1.75,1.0,1.61,1.01,5.41,13.011,75.899,23.889,122.876,39.749,1.658,1.266,1.536,0.212,0.031,0.033,1.63,1.4,1.908,1.8,3,17,1,7,1.3,6.1,1.28,6.12,0.9,2.98,0.98,3.16,0.97,2.83,2.162,2.886
33,LiF225,LiF,Cubic,NaCl,Fm3m,12.61,555,225,mp-1138,"{'Li': 1.0, 'F': 1.0}",1.409927317629933,2.530431317,8.511077025,1.0,1.0,3.51,5.5,3.51,3.28,3.51,7.28,1.45,0.5,1.67,0.42,0.6,0.09,0.76,0.8,1.28,0.57,1.562,0.75,3.06,1.16,1.75,0.83,1.61,0.405,5.41,17.482,75.899,35.09,122.876,62.92,1.658,0.822,1.536,0.034,0.031,0.003,1.63,0.84,1.908,1.151,3,9,1,7,1.3,5.2,1.28,5.1,0.9,3.78,0.98,3.98,0.97,4.1,2.162,1.855
34,LiI225,LiI,Cubic,NaCl,Fm3m,6.0,555,225,mp-22899,"{'Li': 1.0, 'I': 1.0}",2.0476489168096106,4.063406218,27.34843827,1.0,1.0,3.51,7.1802,3.51,4.7102,3.51,9.8103,1.45,1.4,1.67,1.15,0.6,0.46,0.76,0.95,1.28,1.39,1.562,1.39,3.06,1.69,1.75,1.17,1.61,1.585,5.41,10.487,75.899,19.198,122.876,33.114,1.658,1.111,1.536,0.433,0.031,0.081,1.63,1.11,1.908,1.519,3,53,1,7,1.3,7.6,1.28,11.61,0.9,2.76,0.98,2.66,0.97,2.21,2.162,4.263
35,MgO225,MgO,Cubic,NaCl,Fm3(-)m,7.4,555,225,mp-1265,"{'O': 1.0, 'Mg': 1.0}",2.074756880559294,3.471432883,9.63968366,1.0,1.0,3.2094,5.403,3.2094,3.429,5.2108,5.086,1.5,0.6,1.45,0.48,0.63,0.1,0.72,0.1,1.41,0.66,1.602,0.89,2.3,1.2,1.09,0.85,2.03,0.465,7.672,13.665,15.09,35.235,80.423,55.12,1.536,2.592,1.327,0.071,0.09,0.002,1.51,2.6,1.594,4.935,12,8,2,6,2.85,4.55,3.31,4.45,1.31,3.32,1.31,3.44,1.23,3.5,2.324,1.736
36,MgSe225,MgSe,Cubic,NaCl,Fm3(-)m,5.6,555,225,mp-10760,"{'Mg': 1.0, 'Se': 1.0}",2.198733558961747,4.098142142,20.921134265,1.0,1.0,3.2094,9.054,3.2094,9.083,5.2108,11.601,1.5,1.15,1.45,1.03,0.63,0.41,0.72,0.5,1.41,1.2,1.602,1.4,2.3,1.77,1.09,1.04,2.03,1.285,7.672,9.785,15.09,21.268,80.423,30.93,1.536,2.362,1.327,0.936,0.09,0.056,1.51,2.25,1.594,3.489,12,34,2,6,2.85,6.95,3.31,8.29,1.31,2.54,1.31,2.55,1.23,2.48,2.324,2.727
37,NaBr225,NaBr,Cubic,NaCl,Fm3(-)m,7.7,555,225,mp-22916,"{'Na': 1.0, 'Br': 1.0}",1.6804107578229457,3.120798965,27.37425941,1.0,1.0,4.2906,6.7265,4.2906,4.6451,4.2906,8.7023,1.8,1.1,1.9,0.94,0.96,0.37,1.02,0.39,1.66,1.2,1.911,1.17,3.73,1.6,1.07,1.01,2.65,1.2,5.156,11.855,47.445,21.871,71.885,36.119,1.116,1.164,1.032,0.317,0.027,0.06,1.11,1.22,1.313,1.629,11,35,1,7,2.2,7.6,2.51,9.03,0.89,2.83,0.93,2.96,1.01,2.74,3.926,3.277
38,NaCl225,NaCl,Cubic,NaCl,Fm3m,8.6,46,225,mp-22862,"{'Na': 1.0, 'Cl': 1.0}",1.2148523221525533,2.105306534,23.04806888,1.0,1.0,4.2906,6.2235,4.2906,4.4561,4.2906,8.1785,1.8,1.0,1.9,0.79,0.96,0.28,1.02,0.27,1.66,1.02,1.911,0.91,3.73,1.41,1.07,1.0,2.65,1.01,5.156,13.011,47.445,23.889,71.885,39.749,1.116,1.266,1.032,0.212,0.027,0.033,1.11,1.4,1.313,1.8,11,17,1,7,2.2,6.1,2.51,6.12,0.89,2.98,0.93,3.16,1.01,2.83,3.926,2.886
39,NaF225,NaF,Cubic,NaCl,Fm3m,10.5,46,225,mp-682,"{'F': 1.0, 'Na': 1.0}",1.5447826333305694,2.692671974,12.94680531,1.0,1.0,4.2906,5.5,4.2906,3.28,4.2906,7.28,1.8,0.5,1.9,0.42,0.96,0.09,1.02,0.8,1.66,0.57,1.911,0.75,3.73,1.16,1.07,0.83,2.65,0.405,5.156,17.482,47.445,35.09,71.885,62.92,1.116,0.822,1.032,0.034,0.027,0.003,1.11,0.84,1.313,1.151,11,9,1,7,2.2,5.2,2.51,5.1,0.89,3.78,0.93,3.98,1.01,4.1,3.926,1.855
40,NaI225,NaI,Cubic,NaCl,Fm3(-)m,5.89,555,225,mp-23268,"{'Na': 1.0, 'I': 1.0}",1.837098290895045,3.572370188,34.83754806,1.0,1.0,4.2906,7.1802,4.2906,4.7102,4.2906,9.8103,1.8,1.4,1.9,1.15,0.96,0.46,1.02,0.95,1.66,1.39,1.911,1.39,3.73,1.69,1.07,1.17,2.65,1.585,5.156,10.487,47.445,19.198,71.885,33.114,1.116,1.111,1.032,0.433,0.027,0.081,1.11,1.11,1.313,1.519,11,53,1,7,2.2,7.6,2.51,11.61,0.89,2.76,0.93,2.66,1.01,2.21,3.926,4.263
41,NdAs225,NdAs,Cubic,NaCl,Fm3(-)m,1.04,555,225,mp-2602,"{'As': 1.0, 'Nd': 1.0}",3.3653603855379295,6.584702379,27.634484675,1.0,1.0,3.658,3.7598,3.658,3.7598,11.799,10.5475,1.85,1.15,2.06,1.14,1.03,0.46,0.983,0.58,2.01,1.19,1.821,1.39,2.37,1.86,1.17,1.15,3.99,1.415,5.509,9.844,10.754,18.699,22.131,28.444,3.407,3.146,3.411,0.332,0.074,0.288,3.4,2.96,4.765,4.658,60,33,3,5,2.85,6.3,9.31,7.45,1.2,2.27,1.14,2.18,1.07,2.2,3.418,2.152
42,PbS225,PbS,Cubic,NaCl,Fm3m,0.41,1,225,mp-21276,"{'Pb': 1.0, 'S': 1.0}",3.617955303913818,7.333906866,27.08712291,1.0,1.0,4.9508,10.437,4.9508,12.845,4.9508,24.369,1.8,1.0,1.54,0.88,0.83,0.32,1.19,0.37,1.46,1.05,1.75,1.27,2.32,1.44,1.43,1.03,2.09,1.1,7.441,10.396,15.08,23.41,32.042,34.954,2.028,2.9,1.849,0.1,0.05,0.018,2.03,2.85,3.715,4.128,82,16,4,6,5.65,5.45,12.29,5.48,1.92,2.65,2.33,2.58,1.55,2.44,3.034,2.552
43,PbSe225,PbSe,Cubic,NaCl,Fm3m,0.29,1,225,mp-2201,"{'Pb': 1.0, 'Se': 1.0}",3.850383765285309,7.886313735,30.126867105,1.0,1.0,4.9508,9.054,4.9508,9.083,4.9508,11.601,1.8,1.15,1.54,1.03,0.83,0.41,1.19,0.5,1.46,1.2,1.75,1.4,2.32,1.77,1.43,1.04,2.09,1.285,7.441,9.785,15.08,21.268,32.042,30.93,2.028,2.362,1.849,0.936,0.05,0.056,2.03,2.25,3.715,3.489,82,34,4,6,5.65,6.95,12.29,8.29,1.92,2.54,2.33,2.55,1.55,2.48,3.034,2.727
